ID, administrator
name, administrator
ID, 1593
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-02-15T00:26:07.365
endDateTime, 2022-02-15T00:29:34.553
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 207.189
ModuleTime, 207.189
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
1594, Load Bio Rad DLL, 2022-02-15T00:26:07.401, 2022-02-15T00:26:07.407, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0060294, 0.0060294, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1595, Put UUT, 2022-02-15T00:26:07.429, 2022-02-15T00:26:09.054, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.62535, 1.62535, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1596, DC Power On, 2022-02-15T00:26:09.059, 2022-02-15T00:26:09.532, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.472649, 0.472649, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1597, AC Power On, 2022-02-15T00:26:09.533, 2022-02-15T00:26:11.228, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.69438, 1.69438, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1598, Find Attached Devices, 2022-02-15T00:26:11.238, 2022-02-15T00:26:26.291, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0528, 15.0528, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
1599, 12.8V No Load Test, 2022-02-15T00:26:26.303, 2022-02-15T00:26:27.575, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.27206, 1.27206, Passed, Numeric, 12.8045635, AND, LimitPair, N.A, volt, 12.16, 13.44, 
1600, 12.8V Load 30W, 2022-02-15T00:26:27.580, 2022-02-15T00:26:29.038, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.45773, 1.45773, Passed, Numeric, 12.6619775, AND, LimitPair, N.A, volt, 12.16, 13.44, 
1601, 5V No Load Test, 2022-02-15T00:26:29.050, 2022-02-15T00:26:29.808, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.758347, 0.758347, Passed, Numeric, 5.04037098, AND, LimitPair, N.A, volt, 4.75, 5.25, 
1602, 5V 600mA Load, 2022-02-15T00:26:29.814, 2022-02-15T00:26:31.037, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.22365, 1.22365, Passed, Numeric, 5.04425149, AND, LimitPair, N.A, volt, 4.75, 5.25, 
1603, 3.3V Voltage Check, 2022-02-15T00:26:31.049, 2022-02-15T00:26:31.805, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.755537, 0.755537, Passed, Numeric, 3.32592916, AND, LimitPair, N.A, volt, 2.85, 3.45, 
1604, Battery Voltage Check, 2022-02-15T00:26:31.815, 2022-02-15T00:26:32.554, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.739025, 0.739025, Passed, Numeric, 3.22318674, AND, LimitPair, N.A, volt, 2.85, 3.45, 
1605, Wait 10, 2022-02-15T00:26:32.559, 2022-02-15T00:26:42.560, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1606, Remote Command Set, 2022-02-15T00:26:42.564, 2022-02-15T00:27:50.128, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.5647, 67.5647, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1607, Initialize SRAM and HC12, 2022-02-15T00:27:50.130, 2022-02-15T00:27:59.619, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48909, 9.48909, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1608, I2C Read Write Test, 2022-02-15T00:27:59.623, 2022-02-15T00:28:02.448, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.82474, 2.82474, Passed, Alpha VCC, 5.0425364325, N.A, N.A, N.A, N.A, N.A, N.A, 
1609, Get VCC Sensor Value, 2022-02-15T00:28:02.450, 2022-02-15T00:28:02.462, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0117805, 0.0117805, Passed, Numeric, 5.01176, AND, LimitPair, N.A, volt, 4.75, 5.25, 
1610, Get 15V Sensor Value, 2022-02-15T00:28:02.464, 2022-02-15T00:28:02.474, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0102478, 0.0102478, Passed, Numeric, 13.1772, AND, LimitPair, N.A, volt, 12.16, 13.44, 
1611, Get Power Sensor Value, 2022-02-15T00:28:02.476, 2022-02-15T00:28:02.486, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0102512, 0.0102512, Passed, Numeric, 39.7574, AND, LimitPair, N.A, volt, 38, 42, 
