ID, administrator
name, administrator
ID, 7741
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-30T12:02:17.398
endDateTime, 2020-08-30T12:05:44.765
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 207.367
ModuleTime, 207.367
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
7762, HS Left Sensor Test, 2020-08-30T12:04:15.071, 2020-08-30T12:04:15.081, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0098374, 0.0098374, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
7763, HS Right Sensor Test, 2020-08-30T12:04:15.082, 2020-08-30T12:04:15.092, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.009791, 0.009791, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
7764, Get Amp2 Sensor Value, 2020-08-30T12:04:15.094, 2020-08-30T12:04:15.109, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0150956, 0.0150956, Passed, Numeric, 23.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
7765, Get Amp Sensor Value, 2020-08-30T12:04:15.110, 2020-08-30T12:04:15.120, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0099157, 0.0099157, Passed, Numeric, 23.2, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
7766, Get Power Supply Sensor Value, 2020-08-30T12:04:15.122, 2020-08-30T12:04:15.132, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0101765, 0.0101765, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
7767, SRAM Page 0 Check, 2020-08-30T12:04:15.135, 2020-08-30T12:04:55.602, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 40.4662, 40.4662, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7768, SRAM Page 1 Check, 2020-08-30T12:04:55.604, 2020-08-30T12:04:56.059, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.455247, 0.455247, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7769, SRAM Page 2 Check, 2020-08-30T12:04:56.060, 2020-08-30T12:04:56.458, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.397911, 0.397911, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7770, SRAM Page 3 Check, 2020-08-30T12:04:56.460, 2020-08-30T12:04:56.868, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.408252, 0.408252, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7771, Power Cycle Unit, 2020-08-30T12:04:56.869, 2020-08-30T12:05:25.383, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.5138, 28.5138, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7772, Battery Backup Test, 2020-08-30T12:05:25.387, 2020-08-30T12:05:26.435, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.04779, 1.04779, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7773, Block Sensor 0 Check, 2020-08-30T12:05:26.442, 2020-08-30T12:05:26.452, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0101384, 0.0101384, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
7774, Block Sensor 1 Check, 2020-08-30T12:05:26.456, 2020-08-30T12:05:26.466, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0101083, 0.0101083, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
7775, Block Sensor 2 Check, 2020-08-30T12:05:26.469, 2020-08-30T12:05:26.481, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0112766, 0.0112766, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
