ID, administrator
name, administrator
ID, 1868
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-08-27T22:25:23.233
endDateTime, 2021-08-27T22:39:13.694
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 830.461
ModuleTime, 830.461
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
1869, Load Bio Rad DLL, 2021-08-27T22:25:23.294, 2021-08-27T22:25:23.295, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0009585, 0.0009585, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1870, Put UUT, 2021-08-27T22:25:23.305, 2021-08-27T22:25:24.423, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.11747, 1.11747, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1871, DC Power On, 2021-08-27T22:25:24.435, 2021-08-27T22:25:24.759, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.324775, 0.324775, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1872, AC Power On, 2021-08-27T22:25:24.762, 2021-08-27T22:25:26.788, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 2.02614, 2.02614, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1873, Find Attached Devices, 2021-08-27T22:25:26.794, 2021-08-27T22:25:52.048, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 25.2543, 25.2543, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
1874, 12.8V No Load Test, 2021-08-27T22:25:52.055, 2021-08-27T22:25:53.859, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.8046, 1.8046, Passed, Numeric, 12.7380758, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1875, 12.8V Load 30W, 2021-08-27T22:25:53.861, 2021-08-27T22:25:55.244, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.38284, 1.38284, Passed, Numeric, 12.5945573, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1876, 5V No Load Test, 2021-08-27T22:25:55.250, 2021-08-27T22:25:56.015, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.765044, 0.765044, Passed, Numeric, 5.09941614, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1877, 5V 600mA Load, 2021-08-27T22:25:56.017, 2021-08-27T22:25:57.244, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.22661, 1.22661, Passed, Numeric, 5.05639227, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1878, 3.3V Voltage Check, 2021-08-27T22:25:57.250, 2021-08-27T22:25:58.023, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.773026, 0.773026, Passed, Numeric, 3.30962346, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1879, Battery Voltage Check, 2021-08-27T22:25:58.029, 2021-08-27T22:25:58.764, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.734336, 0.734336, Passed, Numeric, 3.20978798, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1880, Wait 10, 2021-08-27T22:25:58.766, 2021-08-27T22:26:08.766, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0004, 10.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
