ID, administrator
name, administrator
ID, 33
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-11-04T16:23:37.297
endDateTime, 2020-11-04T16:25:49.117
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 131.821
ModuleTime, 131.821
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
34, Load Bio Rad DLL, 2020-11-04T16:23:37.357, 2020-11-04T16:23:37.359, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0017314, 0.0017314, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
35, Put UUT, 2020-11-04T16:23:37.406, 2020-11-04T16:23:38.461, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.05541, 1.05541, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
36, DC Power On, 2020-11-04T16:23:38.489, 2020-11-04T16:23:38.977, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.488042, 0.488042, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
37, AC Power On, 2020-11-04T16:23:38.978, 2020-11-04T16:23:40.834, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.85523, 1.85523, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
38, Find Attached Devices, 2020-11-04T16:23:40.842, 2020-11-04T16:23:55.877, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0355, 15.0355, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
39, 12.8V No Load Test, 2020-11-04T16:23:55.886, 2020-11-04T16:23:57.349, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, true, 6, 1.46303, Failed, Numeric, -0.0407081644, AND, LimitPair, N.A, volt, 12.16, 13.44, 
40, 12.8V Load 30W, 2020-11-04T16:23:57.352, 2020-11-04T16:23:58.766, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.41306, 1.41306, Failed, Numeric, -0.0116123559, AND, LimitPair, N.A, volt, 12.16, 13.44, 
41, 5V No Load Test, 2020-11-04T16:23:58.774, 2020-11-04T16:23:59.618, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.843586, 0.843586, Failed, Numeric, -0.00409878794, AND, LimitPair, N.A, volt, 4.75, 5.25, 
42, 5V 600mA Load, 2020-11-04T16:23:59.621, 2020-11-04T16:24:01.265, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.64344, 1.64344, Failed, Numeric, -0.0380142831, AND, LimitPair, N.A, volt, 4.75, 5.25, 
43, 3.3V Voltage Check, 2020-11-04T16:24:01.273, 2020-11-04T16:24:02.123, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.850131, 0.850131, Failed, Numeric, 0.0314606715, AND, LimitPair, N.A, volt, 2.85, 3.45, 
44, Battery Voltage Check, 2020-11-04T16:24:02.131, 2020-11-04T16:24:02.983, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.851953, 0.851953, Failed, Numeric, 0.0164327194, AND, LimitPair, N.A, volt, 2.85, 3.45, 
45, Wait 10, 2020-11-04T16:24:02.986, 2020-11-04T16:24:12.987, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0004, 10.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
46, Remote Command Set, 2020-11-04T16:24:12.989, 2020-11-04T16:25:20.860, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.87, 67.87, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
47, Initialize SRAM and HC12, 2020-11-04T16:25:20.861, 2020-11-04T16:25:30.348, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48706, 9.48706, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
48, Power Off, 2020-11-04T16:25:31.945, 2020-11-04T16:25:33.760, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.81527, 1.81527, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
49, DC Power Off, 2020-11-04T16:25:33.760, 2020-11-04T16:25:34.093, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.333156, 0.333156, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
50, Wait 10, 2020-11-04T16:25:34.093, 2020-11-04T16:25:49.094, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0004, 15.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
