ID, administrator
name, administrator
ID, 2785
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-06-21T08:17:43.376
endDateTime, 2021-06-21T08:21:37.139
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 233.763
ModuleTime, 233.763
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
2806, HS Left Sensor Test, 2021-06-21T08:19:49.672, 2021-06-21T08:19:49.684, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0121336, 0.0121336, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
2807, HS Right Sensor Test, 2021-06-21T08:19:49.686, 2021-06-21T08:19:49.697, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0108609, 0.0108609, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
2808, Get Amp2 Sensor Value, 2021-06-21T08:19:49.698, 2021-06-21T08:19:49.709, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0110148, 0.0110148, Passed, Numeric, 22.2, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
2809, Get Amp Sensor Value, 2021-06-21T08:19:49.711, 2021-06-21T08:19:49.722, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0110612, 0.0110612, Passed, Numeric, 22, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
2810, Get Power Supply Sensor Value, 2021-06-21T08:19:49.724, 2021-06-21T08:19:49.736, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0122101, 0.0122101, Passed, Numeric, 25.3, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
2811, SRAM Page 0 Check, 2021-06-21T08:19:49.742, 2021-06-21T08:20:36.105, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 46.3624, 46.3624, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2812, SRAM Page 1 Check, 2021-06-21T08:20:36.131, 2021-06-21T08:20:36.631, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.500846, 0.500846, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2813, SRAM Page 2 Check, 2021-06-21T08:20:36.633, 2021-06-21T08:20:37.039, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.405999, 0.405999, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2814, SRAM Page 3 Check, 2021-06-21T08:20:37.040, 2021-06-21T08:20:37.489, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.448714, 0.448714, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2815, Power Cycle Unit, 2021-06-21T08:20:37.491, 2021-06-21T08:21:06.215, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.7244, 28.7244, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2816, Battery Backup Test, 2021-06-21T08:21:06.216, 2021-06-21T08:21:07.258, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.04187, 1.04187, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2817, Block Sensor 0 Check, 2021-06-21T08:21:07.261, 2021-06-21T08:21:07.272, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0112737, 0.0112737, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
2818, Block Sensor 1 Check, 2021-06-21T08:21:07.273, 2021-06-21T08:21:07.283, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0101175, 0.0101175, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
2819, Block Sensor 2 Check, 2021-06-21T08:21:07.284, 2021-06-21T08:21:07.294, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0101408, 0.0101408, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
2820, Block Sensor 3 Check, 2021-06-21T08:21:07.295, 2021-06-21T08:21:07.308, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0131575, 0.0131575, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
2821, Block Sensor 4 Check, 2021-06-21T08:21:07.309, 2021-06-21T08:21:07.319, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.009923, 0.009923, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
2822, Block Sensor 5 Check, 2021-06-21T08:21:07.320, 2021-06-21T08:21:07.330, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.010001, 0.010001, Passed, Numeric, 52.93, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
2823, TE CH0 Posistive Direction Check, 2021-06-21T08:21:07.357, 2021-06-21T08:21:08.124, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.766381, 0.766381, Passed, Numeric, 10.72883956667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
2824, TE CH0 Negative Direction Check, 2021-06-21T08:21:08.129, 2021-06-21T08:21:08.894, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.765637, 0.765637, Passed, Numeric, -10.73033138333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
2825, TE CH1 Posistive Direction Check, 2021-06-21T08:21:08.905, 2021-06-21T08:21:09.697, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.792538, 0.792538, Passed, Numeric, 10.68155446667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
2826, TE CH1 Negative Direction Check, 2021-06-21T08:21:09.708, 2021-06-21T08:21:10.563, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.854725, 0.854725, Passed, Numeric, -10.67770461667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
2827, TE CH2 Posistive Direction Check, 2021-06-21T08:21:10.573, 2021-06-21T08:21:11.368, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.794936, 0.794936, Passed, Numeric, 10.65037415, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
2828, TE CH2 Negative Direction Check, 2021-06-21T08:21:11.379, 2021-06-21T08:21:12.185, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.806048, 0.806048, Passed, Numeric, -10.64652315, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
2829, TE CH3 Posistive Direction Check, 2021-06-21T08:21:12.197, 2021-06-21T08:21:12.992, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.795294, 0.795294, Passed, Numeric, 10.6567799, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
2830, TE CH3 Negative Direction Check, 2021-06-21T08:21:12.997, 2021-06-21T08:21:13.763, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, 52, 0.765967, 0.765967, Passed, Numeric, -10.65112571667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
2831, TE CH4 Posistive Direction Check, 2021-06-21T08:21:13.774, 2021-06-21T08:21:14.597, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.823635, 0.823635, Passed, Numeric, 10.6727284, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
2832, TE CH4 Negative Direction Check, 2021-06-21T08:21:14.601, 2021-06-21T08:21:16.346, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 1.74436, 1.74436, Passed, Numeric, -10.67710435, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
2833, TE CH5 Posistive Direction Check, 2021-06-21T08:21:16.354, 2021-06-21T08:21:17.184, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.83012, 0.83012, Passed, Numeric, 10.68137198333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
2834, TE CH5 Negative Direction Check, 2021-06-21T08:21:17.467, 2021-06-21T08:21:18.230, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 0.762745, 0.762745, Passed, Numeric, -10.6814397, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
2835, TE CH0 4.9A Current Check, 2021-06-21T08:21:18.240, 2021-06-21T08:21:19.053, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 0.812711, 0.812711, Passed, Numeric, 4.913054883333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
2836, TE CH1 4.9A Current Check, 2021-06-21T08:21:19.064, 2021-06-21T08:21:19.845, ID#:E9ohR7rRd06h1Ub0N5DZyA, Test, NumericLimitTest, Main, 0, 58, 0.781013, 0.781013, Aborted, Numeric, 4.882011716667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
2837, Power Off, 2021-06-21T08:21:19.846, 2021-06-21T08:21:21.791, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.94545, 1.94545, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2838, DC Power Off, 2021-06-21T08:21:21.791, 2021-06-21T08:21:22.124, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.332925, 0.332925, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2839, Wait 10, 2021-06-21T08:21:22.124, 2021-06-21T08:21:37.125, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0005, 15.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
