ID, administrator
name, administrator
ID, 2737
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-04T08:55:53.179
endDateTime, 2020-09-04T09:03:35.220
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 462.041
ModuleTime, 462.041
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2738, Load Bio Rad DLL, 2020-09-04T08:55:53.235, 2020-09-04T08:55:53.236, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0014064, 0.0014064, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2739, Put UUT, 2020-09-04T08:55:53.258, 2020-09-04T08:55:57.830, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.57273, 4.57273, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2740, DC Power On, 2020-09-04T08:55:57.848, 2020-09-04T08:55:58.172, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.324042, 0.324042, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2741, AC Power On, 2020-09-04T08:55:58.173, 2020-09-04T08:55:59.723, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.54969, 1.54969, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2742, Find Attached Devices, 2020-09-04T08:55:59.727, 2020-09-04T08:56:14.760, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0336, 15.0336, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2743, 12.8V No Load Test, 2020-09-04T08:56:14.764, 2020-09-04T08:56:15.994, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22958, 1.22958, Passed, Numeric, 12.7900261, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2744, 12.8V Load 30W, 2020-09-04T08:56:15.995, 2020-09-04T08:56:17.264, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.2689, 1.2689, Passed, Numeric, 12.5256003, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2745, 5V No Load Test, 2020-09-04T08:56:17.268, 2020-09-04T08:56:17.988, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.719585, 0.719585, Passed, Numeric, 5.06625605, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2746, 5V 600mA Load, 2020-09-04T08:56:17.989, 2020-09-04T08:56:19.264, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27494, 1.27494, Passed, Numeric, 5.05878565, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2747, 3.3V Voltage Check, 2020-09-04T08:56:19.268, 2020-09-04T08:56:19.987, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.718622, 0.718622, Passed, Numeric, 3.31480598, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
