ID, administrator
name, administrator
ID, 752
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-08-27T17:00:55.258
endDateTime, 2021-08-27T17:04:42.685
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 227.427
ModuleTime, 227.427
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
773, HS Left Sensor Test, 2021-08-27T17:03:12.686, 2021-08-27T17:03:12.703, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0166154, 0.0166154, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
774, HS Right Sensor Test, 2021-08-27T17:03:12.704, 2021-08-27T17:03:12.716, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0122188, 0.0122188, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
775, Get Amp2 Sensor Value, 2021-08-27T17:03:12.718, 2021-08-27T17:03:12.729, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0110244, 0.0110244, Passed, Numeric, 23.7, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
776, Get Amp Sensor Value, 2021-08-27T17:03:12.731, 2021-08-27T17:03:12.743, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.012432, 0.012432, Passed, Numeric, 22.8, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
777, Get Power Supply Sensor Value, 2021-08-27T17:03:12.745, 2021-08-27T17:03:12.761, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0155079, 0.0155079, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
778, SRAM Page 0 Check, 2021-08-27T17:03:12.765, 2021-08-27T17:03:59.281, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 46.5163, 46.5163, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
779, SRAM Page 1 Check, 2021-08-27T17:03:59.283, 2021-08-27T17:03:59.788, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.505326, 0.505326, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
780, SRAM Page 2 Check, 2021-08-27T17:03:59.789, 2021-08-27T17:04:00.192, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.402268, 0.402268, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
781, SRAM Page 3 Check, 2021-08-27T17:04:00.193, 2021-08-27T17:04:00.652, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.459392, 0.459392, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
782, Power Cycle Unit, 2021-08-27T17:04:00.654, 2021-08-27T17:04:29.486, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.8325, 28.8325, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
783, Battery Backup Test, 2021-08-27T17:04:29.487, 2021-08-27T17:04:30.534, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.04639, 1.04639, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
784, Block Sensor 0 Check, 2021-08-27T17:04:30.537, 2021-08-27T17:04:30.554, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0171017, 0.0171017, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
785, Block Sensor 1 Check, 2021-08-27T17:04:30.555, 2021-08-27T17:04:30.566, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0114855, 0.0114855, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
786, Block Sensor 2 Check, 2021-08-27T17:04:30.567, 2021-08-27T17:04:30.579, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0117297, 0.0117297, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
787, Block Sensor 3 Check, 2021-08-27T17:04:30.580, 2021-08-27T17:04:30.591, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0117353, 0.0117353, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
788, Block Sensor 4 Check, 2021-08-27T17:04:30.592, 2021-08-27T17:04:30.605, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0128178, 0.0128178, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
789, Block Sensor 5 Check, 2021-08-27T17:04:30.606, 2021-08-27T17:04:30.619, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0128949, 0.0128949, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
790, TE CH0 Posistive Direction Check, 2021-08-27T17:04:30.649, 2021-08-27T17:04:31.458, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.809925, 0.809925, Passed, Numeric, 10.75715116667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
791, TE CH0 Negative Direction Check, 2021-08-27T17:04:31.465, 2021-08-27T17:04:32.239, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.773431, 0.773431, Passed, Numeric, -10.74977945, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
792, TE CH1 Posistive Direction Check, 2021-08-27T17:04:32.250, 2021-08-27T17:04:33.060, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.810145, 0.810145, Passed, Numeric, 10.78226393333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
793, TE CH1 Negative Direction Check, 2021-08-27T17:04:33.071, 2021-08-27T17:04:33.878, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.806791, 0.806791, Passed, Numeric, -10.78179605, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
794, TE CH2 Posistive Direction Check, 2021-08-27T17:04:33.890, 2021-08-27T17:04:34.669, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.779162, 0.779162, Aborted, Numeric, 0.001321783573333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
795, Power Off, 2021-08-27T17:04:34.669, 2021-08-27T17:04:36.456, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.78637, 1.78637, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
796, DC Power Off, 2021-08-27T17:04:36.456, 2021-08-27T17:04:36.803, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.346888, 0.346888, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
797, Wait 10, 2021-08-27T17:04:36.803, 2021-08-27T17:04:42.669, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 5.86559, 5.86559, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
