ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-02-02T17:29:50.977
endDateTime, 2021-02-02T17:34:04.237
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 253.261
ModuleTime, 253.261
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
4, Load Bio Rad DLL, 2021-02-02T17:29:51.187, 2021-02-02T17:29:52.604, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 1.41638, 1.41638, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5, Put UUT, 2021-02-02T17:29:52.613, 2021-02-02T17:29:56.507, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 3.8938, 3.8938, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6, DC Power On, 2021-02-02T17:29:56.519, 2021-02-02T17:29:56.898, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.378578, 0.378578, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7, AC Power On, 2021-02-02T17:29:56.901, 2021-02-02T17:29:58.656, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.75528, 1.75528, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
8, Find Attached Devices, 2021-02-02T17:29:58.660, 2021-02-02T17:30:34.778, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 36.1176, 36.1176, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
9, 12.8V No Load Test, 2021-02-02T17:30:34.786, 2021-02-02T17:30:36.234, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.44834, 1.44834, Passed, Numeric, 12.7750472, AND, LimitPair, N.A, volt, 12.16, 13.44, 
10, 12.8V Load 30W, 2021-02-02T17:30:36.237, 2021-02-02T17:30:37.395, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.15723, 1.15723, Passed, Numeric, 12.63099, AND, LimitPair, N.A, volt, 12.16, 13.44, 
11, 5V No Load Test, 2021-02-02T17:30:37.403, 2021-02-02T17:30:38.111, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.707673, 0.707673, Passed, Numeric, 5.01732421, AND, LimitPair, N.A, volt, 4.75, 5.25, 
12, 5V 600mA Load, 2021-02-02T17:30:38.127, 2021-02-02T17:30:39.394, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26615, 1.26615, Passed, Numeric, 5.0515799, AND, LimitPair, N.A, volt, 4.75, 5.25, 
13, 3.3V Voltage Check, 2021-02-02T17:30:39.402, 2021-02-02T17:30:40.125, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.722518, 0.722518, Passed, Numeric, 3.31794536, AND, LimitPair, N.A, volt, 2.85, 3.45, 
14, Battery Voltage Check, 2021-02-02T17:30:40.133, 2021-02-02T17:30:40.860, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.727146, 0.727146, Passed, Numeric, 3.10510217, AND, LimitPair, N.A, volt, 2.85, 3.45, 
15, Wait 10, 2021-02-02T17:30:40.863, 2021-02-02T17:30:50.865, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0019, 10.0019, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
16, Remote Command Set, 2021-02-02T17:30:50.867, 2021-02-02T17:31:59.222, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 68.355, 68.355, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
17, Initialize SRAM and HC12, 2021-02-02T17:31:59.224, 2021-02-02T17:32:08.710, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48619, 9.48619, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
18, I2C Read Write Test, 2021-02-02T17:32:08.718, 2021-02-02T17:32:11.654, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.93592, 2.93592, Passed, Alpha VCC, 5.0141910565, N.A, N.A, N.A, N.A, N.A, N.A, 
19, Get VCC Sensor Value, 2021-02-02T17:32:11.657, 2021-02-02T17:32:11.671, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.014041, 0.014041, Passed, Numeric, 5.002, AND, LimitPair, N.A, volt, 4.75, 5.25, 
20, Get 15V Sensor Value, 2021-02-02T17:32:11.674, 2021-02-02T17:32:11.689, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0143138, 0.0143138, Passed, Numeric, 13.24356, AND, LimitPair, N.A, volt, 12.16, 13.44, 
21, Get Power Sensor Value, 2021-02-02T17:32:11.692, 2021-02-02T17:32:11.705, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0128691, 0.0128691, Passed, Numeric, 39.8944, AND, LimitPair, N.A, volt, 38, 42, 
22, Lid Left Sensor Test, 2021-02-02T17:32:11.708, 2021-02-02T17:32:11.721, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0129244, 0.0129244, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
23, Lid Right Sensor Test, 2021-02-02T17:32:11.724, 2021-02-02T17:32:11.737, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0133495, 0.0133495, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
24, HS Left Sensor Test, 2021-02-02T17:32:11.741, 2021-02-02T17:32:11.753, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0127585, 0.0127585, Passed, Numeric, 52.9, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
25, HS Right Sensor Test, 2021-02-02T17:32:11.756, 2021-02-02T17:32:11.769, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0121367, 0.0121367, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
26, Get Amp2 Sensor Value, 2021-02-02T17:32:11.772, 2021-02-02T17:32:11.785, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0128737, 0.0128737, Passed, Numeric, 26.4, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
27, Get Amp Sensor Value, 2021-02-02T17:32:11.788, 2021-02-02T17:32:11.801, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0130734, 0.0130734, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
28, Get Power Supply Sensor Value, 2021-02-02T17:32:11.804, 2021-02-02T17:32:11.817, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.013376, 0.013376, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
29, SRAM Page 0 Check, 2021-02-02T17:32:11.826, 2021-02-02T17:32:58.201, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 46.3755, 46.3755, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
30, SRAM Page 1 Check, 2021-02-02T17:32:58.226, 2021-02-02T17:32:58.715, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.489039, 0.489039, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
31, SRAM Page 2 Check, 2021-02-02T17:32:58.716, 2021-02-02T17:32:59.122, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.405792, 0.405792, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
32, SRAM Page 3 Check, 2021-02-02T17:32:59.124, 2021-02-02T17:32:59.582, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.458538, 0.458538, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
33, Power Cycle Unit, 2021-02-02T17:32:59.585, 2021-02-02T17:33:28.315, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.7303, 28.7303, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
34, Battery Backup Test, 2021-02-02T17:33:28.317, 2021-02-02T17:33:29.394, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.07668, 1.07668, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
35, Block Sensor 0 Check, 2021-02-02T17:33:29.397, 2021-02-02T17:33:29.409, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0120031, 0.0120031, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
36, Block Sensor 1 Check, 2021-02-02T17:33:29.411, 2021-02-02T17:33:29.428, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0171339, 0.0171339, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
37, Block Sensor 2 Check, 2021-02-02T17:33:29.429, 2021-02-02T17:33:29.443, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0132632, 0.0132632, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
38, Block Sensor 3 Check, 2021-02-02T17:33:29.444, 2021-02-02T17:33:29.456, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0118501, 0.0118501, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
39, Block Sensor 4 Check, 2021-02-02T17:33:29.457, 2021-02-02T17:33:29.469, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0118667, 0.0118667, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
40, Block Sensor 5 Check, 2021-02-02T17:33:29.473, 2021-02-02T17:33:29.489, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0168467, 0.0168467, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
41, TE CH0 Posistive Direction Check, 2021-02-02T17:33:29.509, 2021-02-02T17:33:30.299, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.790031, 0.790031, Passed, Numeric, 10.68532585, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
