ID, administrator
name, administrator
ID, 1851
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-02T16:15:54.458
endDateTime, 2020-09-02T16:17:38.708
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 104.25
ModuleTime, 104.25
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, Event ID, Severity, Error source, 
1852, Load Bio Rad DLL, 2020-09-02T16:15:54.517, 2020-09-02T16:15:54.518, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012316, 0.0012316, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1853, Put UUT, 2020-09-02T16:15:54.540, 2020-09-02T16:15:59.311, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.77149, 4.77149, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1854, DC Power On, 2020-09-02T16:15:59.328, 2020-09-02T16:15:59.657, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.328309, 0.328309, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1855, AC Power On, 2020-09-02T16:15:59.658, 2020-09-02T16:16:01.641, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.9824, 1.9824, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1856, Find Attached Devices, 2020-09-02T16:16:01.644, 2020-09-02T16:16:29.828, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 28.1833, 28.1833, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, N.A, N.A, 
1857, 12.8V No Load Test, 2020-09-02T16:16:29.832, 2020-09-02T16:16:31.060, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22886, 1.22886, Passed, Numeric, 12.824638, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, 
1858, 12.8V Load 30W, 2020-09-02T16:16:31.062, 2020-09-02T16:16:32.267, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.20446, 1.20446, Passed, Numeric, 12.5817291, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, 
1859, 5V No Load Test, 2020-09-02T16:16:32.270, 2020-09-02T16:16:32.990, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.719697, 0.719697, Passed, Numeric, 5.05315984, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, 
1860, 5V 600mA Load, 2020-09-02T16:16:32.992, 2020-09-02T16:16:34.267, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27484, 1.27484, Passed, Numeric, 5.00907973, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, 
1861, 3.3V Voltage Check, 2020-09-02T16:16:34.270, 2020-09-02T16:16:34.989, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.718386, 0.718386, Passed, Numeric, 3.3303746, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, 
1862, Battery Voltage Check, 2020-09-02T16:16:34.993, 2020-09-02T16:16:35.719, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, true, 14, 0.725986, Failed, Numeric, 0.0075105369, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, 
1863, Wait 10, 2020-09-02T16:16:35.720, 2020-09-02T16:16:45.720, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0002, 10.0002, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
