ID, administrator
name, administrator
ID, 1929
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-06-20T15:52:28.489
endDateTime, 2021-06-20T16:00:07.243
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 458.755
ModuleTime, 458.755
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
1930, Load Bio Rad DLL, 2021-06-20T15:52:28.530, 2021-06-20T15:52:28.531, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011489, 0.0011489, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1931, Put UUT, 2021-06-20T15:52:28.556, 2021-06-20T15:52:31.546, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.9896, 2.9896, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1932, DC Power On, 2021-06-20T15:52:31.553, 2021-06-20T15:52:31.874, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.320911, 0.320911, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1933, AC Power On, 2021-06-20T15:52:31.875, 2021-06-20T15:52:33.744, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.86831, 1.86831, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1934, Find Attached Devices, 2021-06-20T15:52:33.750, 2021-06-20T15:52:48.948, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.1982, 15.1982, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
1935, 12.8V No Load Test, 2021-06-20T15:52:48.951, 2021-06-20T15:52:50.613, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.66249, 1.66249, Passed, Numeric, 12.7899312, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1936, 12.8V Load 30W, 2021-06-20T15:52:50.614, 2021-06-20T15:52:51.746, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.13131, 1.13131, Passed, Numeric, 12.5217326, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1937, 5V No Load Test, 2021-06-20T15:52:51.752, 2021-06-20T15:52:52.484, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.732326, 0.732326, Passed, Numeric, 5.06213689, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1938, 5V 600mA Load, 2021-06-20T15:52:52.486, 2021-06-20T15:52:53.746, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25921, 1.25921, Passed, Numeric, 5.03684902, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1939, 3.3V Voltage Check, 2021-06-20T15:52:53.752, 2021-06-20T15:52:54.484, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.732248, 0.732248, Passed, Numeric, 3.32588418, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1940, Battery Voltage Check, 2021-06-20T15:52:54.490, 2021-06-20T15:52:55.242, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.752122, 0.752122, Passed, Numeric, 3.21666915, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1941, Wait 10, 2021-06-20T15:52:55.244, 2021-06-20T15:53:05.245, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0008, 10.0008, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1942, Remote Command Set, 2021-06-20T15:53:05.247, 2021-06-20T15:54:13.066, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.8198, 67.8198, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1943, Initialize SRAM and HC12, 2021-06-20T15:54:13.067, 2021-06-20T15:54:22.549, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.4815, 9.4815, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1944, I2C Read Write Test, 2021-06-20T15:54:22.555, 2021-06-20T15:54:25.486, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.93081, 2.93081, Passed, Alpha VCC, 5.0622204485, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1945, Get VCC Sensor Value, 2021-06-20T15:54:25.487, 2021-06-20T15:54:25.498, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0112977, 0.0112977, Passed, Numeric, 4.99224, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
