ID, administrator
name, administrator
ID, 830
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-09T16:24:44.939
endDateTime, 2020-09-09T16:28:30.527
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 225.589
ModuleTime, 225.589
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
851, HS Left Sensor Test, 2020-09-09T16:26:47.995, 2020-09-09T16:26:48.005, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0097566, 0.0097566, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
852, HS Right Sensor Test, 2020-09-09T16:26:48.006, 2020-09-09T16:26:48.016, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0096174, 0.0096174, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
853, Get Amp2 Sensor Value, 2020-09-09T16:26:48.017, 2020-09-09T16:26:48.033, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0156127, 0.0156127, Passed, Numeric, 24.9, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
854, Get Amp Sensor Value, 2020-09-09T16:26:48.034, 2020-09-09T16:26:48.044, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0103191, 0.0103191, Passed, Numeric, 25.2, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
855, Get Power Supply Sensor Value, 2020-09-09T16:26:48.046, 2020-09-09T16:26:48.057, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.010457, 0.010457, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
856, SRAM Page 0 Check, 2020-09-09T16:26:48.060, 2020-09-09T16:27:28.585, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 40.5252, 40.5252, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
857, SRAM Page 1 Check, 2020-09-09T16:27:28.587, 2020-09-09T16:27:29.055, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.468313, 0.468313, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
858, SRAM Page 2 Check, 2020-09-09T16:27:29.057, 2020-09-09T16:27:29.459, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.402509, 0.402509, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
859, SRAM Page 3 Check, 2020-09-09T16:27:29.461, 2020-09-09T16:27:29.862, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.401263, 0.401263, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
860, Power Cycle Unit, 2020-09-09T16:27:29.863, 2020-09-09T16:27:58.409, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.5455, 28.5455, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
861, Battery Backup Test, 2020-09-09T16:27:58.410, 2020-09-09T16:27:59.450, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.03935, 1.03935, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
862, Block Sensor 0 Check, 2020-09-09T16:27:59.454, 2020-09-09T16:27:59.464, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0101372, 0.0101372, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
863, Block Sensor 1 Check, 2020-09-09T16:27:59.466, 2020-09-09T16:27:59.481, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0151694, 0.0151694, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
864, Block Sensor 2 Check, 2020-09-09T16:27:59.483, 2020-09-09T16:27:59.493, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0100487, 0.0100487, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
865, Block Sensor 3 Check, 2020-09-09T16:27:59.494, 2020-09-09T16:27:59.504, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0103473, 0.0103473, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
