ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-05T16:11:09.923
endDateTime, 2020-08-05T16:24:20.634
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 790.712
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, Event ID, Severity, Error source, 
80, Fan 1 Low Speed Check, 2020-08-05T16:19:04.530, 2020-08-05T16:19:10.610, ID#:hGUIrpOepkadnsvGtzvEvB, Test, NumericLimitTest, Main, 0, 77, 6.07975, 6.07975, Failed, Numeric, 28593230, AND, LimitPair, N.A, R.P.M, 200, 299, N.A, N.A, N.A, N.A, 
81, Fan 2 Low Speed Check, 2020-08-05T16:19:10.612, 2020-08-05T16:19:44.014, ID#:J+6Bk150m0uQK3EcNwZZOA, Test, NumericLimitTest, Main, 0, 78, 33.4016, 33.4016, Aborted, Error, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
82, Fan 2 Low Speed Check, 2020-08-05T16:19:44.041, 2020-08-05T16:19:50.055, ID#:J+6Bk150m0uQK3EcNwZZOA, Test, NumericLimitTest, Main, 0, 78, 6.014, 6.014, Failed, Numeric, 28583666, AND, LimitPair, N.A, R.P.M, 200, 299, N.A, N.A, N.A, N.A, 
83, Fan 1 Medium Speed Check, 2020-08-05T16:19:50.057, 2020-08-05T16:19:56.073, ID#:INxiJIvKOE+nZv2U4fXukD, Test, NumericLimitTest, Main, 0, 79, 6.0168, 6.0168, Failed, Numeric, 28581317, AND, LimitPair, N.A, RPM, 300, 380, N.A, N.A, N.A, N.A, 
84, Fan 2 Medium Speed Check, 2020-08-05T16:19:56.075, 2020-08-05T16:20:02.089, ID#:UodXYDKwr02HGJwlhCMtnD, Test, NumericLimitTest, Main, 0, 80, 6.01382, 6.01382, Failed, Numeric, 28597363, AND, LimitPair, N.A, RPM, 300, 380, N.A, N.A, N.A, N.A, 
85, Fan 1 Hi Speed Check, 2020-08-05T16:20:02.091, 2020-08-05T16:20:08.104, ID#:B/WFyM9y60KjkQEbbA97WA, Test, NumericLimitTest, Main, 0, 81, 6.01286, 6.01286, Failed, Numeric, 28597003, AND, LimitPair, N.A, RPM, 380, 500, N.A, N.A, N.A, N.A, 
86, Fan 2 Hi Speed Check, 2020-08-05T16:20:08.105, 2020-08-05T16:20:14.123, ID#:Wl7hUYmQ/kCMSrIckmlBdD, Test, NumericLimitTest, Main, 0, 82, 6.01767, 6.01767, Failed, Numeric, 28596973, AND, LimitPair, N.A, RPM, 380, 500, N.A, N.A, N.A, N.A, 
87, RT Lid Voltage Check, 2020-08-05T16:20:14.157, 2020-08-05T16:20:14.923, ID#:PJJXVEbWFEa13k+DySJgaC, Test, NumericLimitTest, Main, 0, 84, 0.765919, 0.765919, Passed, Numeric, 39.6812069, AND, LimitPair, N.A, volt, 38, 42, N.A, N.A, N.A, N.A, 
88, Beep Check, 2020-08-05T16:20:14.932, 2020-08-05T16:20:36.298, ID#:EqzyXG3DBkyWUZnL9CfwwA, Test, PassFailTest, Main, 0, 86, 21.3665, 21.3665, Failed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
89, Load All Load 1 Min, 2020-08-05T16:20:36.303, 2020-08-05T16:21:37.333, ID#:lpso/9wtqUaXEmf9sr7MWA, SessionAction, Action, Main, 0, 87, 61.0299, 61.0299, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
90, 12.8V Load 30W, 2020-08-05T16:21:37.335, 2020-08-05T16:21:38.847, ID#:bL07cwx0MEuslFkQRPVE3C, Test, NumericLimitTest, Main, 0, 88, 1.51168, 1.51168, Passed, Numeric, 12.773432, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, N.A, 
91, 5V 600mA Load, 2020-08-05T16:21:38.849, 2020-08-05T16:21:40.347, ID#:JuBFW+012kqlhm5xYV+AQD, Test, NumericLimitTest, Main, 0, 89, 1.49808, 1.49808, Passed, Numeric, 5.01151604, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, N.A, 
92, TE CH0 10.5A Current Check, 2020-08-05T16:21:40.349, 2020-08-05T16:21:41.118, ID#:pNI7DpsMY0yXDt+MhjQC2C, Test, NumericLimitTest, Main, 0, 90, 0.769077, 0.769077, Passed, Numeric, 10.67452563333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
93, TE CH1 10.5A Current Check, 2020-08-05T16:21:41.119, 2020-08-05T16:21:41.886, ID#:kPT6D26WDkiAnuv0hwrpkD, Test, NumericLimitTest, Main, 0, 91, 0.766781, 0.766781, Passed, Numeric, 10.68772595, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
94, TE CH2 10.5A Current Check, 2020-08-05T16:21:41.888, 2020-08-05T16:21:42.657, ID#:fWmorY1ie0qBEWbqoC41EC, Test, NumericLimitTest, Main, 0, 92, 0.769362, 0.769362, Failed, Numeric, -2.100087016667e-007, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
95, TE CH3 10.5A Current Check, 2020-08-05T16:21:42.661, 2020-08-05T16:21:43.431, ID#:VL9oMFcI1U2qOiu+O/DxOB, Test, NumericLimitTest, Main, 0, 93, 0.769813, 0.769813, Failed, Numeric, 3.91481825e-007, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
96, TE CH4 10.5A Current Check, 2020-08-05T16:21:43.435, 2020-08-05T16:21:44.204, ID#:kyCRkKaUE0G0AdwgW2iu5A, Test, NumericLimitTest, Main, 0, 94, 0.768932, 0.768932, Passed, Numeric, 10.66831743333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
97, TE CH5 10.5A Current Check, 2020-08-05T16:21:44.208, 2020-08-05T16:21:44.977, ID#:kQP4ME5NuEu3Titg5yMjeC, Test, NumericLimitTest, Main, 0, 95, 0.768682, 0.768682, Passed, Numeric, 10.713798, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
98, Low Lid 1 Voltage Check, 2020-08-05T16:21:44.981, 2020-08-05T16:21:45.758, ID#:XyvbZrjmmE2GS7uXBrkYDA, Test, NumericLimitTest, Main, 0, 96, 0.777046, 0.777046, Passed, Numeric, 19.5634384, AND, LimitPair, N.A, volt, 18.7435, 20.7165, N.A, N.A, N.A, N.A, 
99, Low Lid 2 Voltage Check, 2020-08-05T16:21:45.762, 2020-08-05T16:21:46.546, ID#:5oho99YAAkKJEgYduWK1TD, Test, NumericLimitTest, Main, 0, 97, 0.7837, 0.7837, Passed, Numeric, 19.6602036, AND, LimitPair, N.A, volt, 18.7435, 20.7165, N.A, N.A, N.A, N.A, 
100, Hi Lid 1 Voltage Check, 2020-08-05T16:21:46.550, 2020-08-05T16:21:47.335, ID#:gdWzxdWVRk+7KKdqdLY60A, Test, NumericLimitTest, Main, 0, 98, 0.785081, 0.785081, Passed, Numeric, 33.9661708, AND, LimitPair, N.A, volt, 32.585, 36.015, N.A, N.A, N.A, N.A, 
101, Hi Lid 2 Voltage Check, 2020-08-05T16:21:47.341, 2020-08-05T16:21:48.131, ID#:Q15tZPkZr0CugWTEKKsaCB, Test, NumericLimitTest, Main, 0, 99, 0.790488, 0.790488, Passed, Numeric, 34.1006622, AND, LimitPair, N.A, volt, 32.585, 36.015, N.A, N.A, N.A, N.A, 
102, Unoad All Load, 2020-08-05T16:21:48.135, 2020-08-05T16:21:50.158, ID#:lNo269sh5EGs4Lbws/hkUA, SessionAction, Action, Main, 0, 100, 2.02239, 2.02239, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
103, Satelite Display and Keypad Check, 2020-08-05T16:21:50.179, 2020-08-05T16:22:02.132, ID#:qFQZ2SAKR0OvejZsPSBDzD, Test, PassFailTest, Main, 0, 102, 11.9529, 11.9529, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
104, Protocol Creation Check, 2020-08-05T16:22:02.152, 2020-08-05T16:22:37.361, ID#:kdiQkBMZ9kWTLfqUqQZfzB, Test, PassFailTest, Main, 0, 103, 35.2094, 35.2094, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
105, Protocol Delete Check, 2020-08-05T16:22:37.379, 2020-08-05T16:22:46.406, ID#:/dELZBxRiUyfgYpnbQmdzB, Test, PassFailTest, Main, 0, 104, 9.027, 9.027, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
106, Remote Command Set, 2020-08-05T16:22:46.429, 2020-08-05T16:23:53.890, ID#:/sf35Wk+CEeV02sYnp9QgA, Test, PassFailTest, Main, 0, 105, 67.4611, 67.4611, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
107, Initialize SRAM and HC12, 2020-08-05T16:23:53.894, 2020-08-05T16:24:03.379, ID#:KSTbIXibA0WJCfcONXYX0D, Test, PassFailTest, Main, 0, 106, 9.48472, 9.48472, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
108, Power Off, 2020-08-05T16:24:03.401, 2020-08-05T16:24:05.325, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.92369, 1.92369, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
109, DC Power Off, 2020-08-05T16:24:05.328, 2020-08-05T16:24:05.625, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.296475, 0.296475, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
110, Wait 10, 2020-08-05T16:24:05.630, 2020-08-05T16:24:20.630, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0007, 15.0007, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
