ID, administrator
name, administrator
ID, 2478
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-25T17:05:32.940
endDateTime, 2020-08-25T17:14:46.039
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 553.099
ModuleTime, 553.099
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2479, Load Bio Rad DLL, 2020-08-25T17:05:33.002, 2020-08-25T17:05:33.377, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.375231, 0.375231, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2480, Put UUT, 2020-08-25T17:05:33.387, 2020-08-25T17:05:37.066, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 3.67892, 3.67892, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2481, DC Power On, 2020-08-25T17:05:37.068, 2020-08-25T17:05:37.376, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.307657, 0.307657, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2482, AC Power On, 2020-08-25T17:05:37.377, 2020-08-25T17:05:39.162, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.78478, 1.78478, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2483, Find Attached Devices, 2020-08-25T17:05:39.166, 2020-08-25T17:06:06.658, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 27.4928, 27.4928, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2484, 12.8V No Load Test, 2020-08-25T17:06:06.662, 2020-08-25T17:06:07.883, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22113, 1.22113, Passed, Numeric, 12.8335495, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2485, 12.8V Load 30W, 2020-08-25T17:06:07.885, 2020-08-25T17:06:09.325, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.44015, 1.44015, Passed, Numeric, 12.6013011, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2486, 5V No Load Test, 2020-08-25T17:06:09.329, 2020-08-25T17:06:10.040, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.711153, 0.711153, Passed, Numeric, 5.06835106, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2487, 5V 600mA Load, 2020-08-25T17:06:10.042, 2020-08-25T17:06:11.324, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.28238, 1.28238, Passed, Numeric, 5.00021462, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2488, 3.3V Voltage Check, 2020-08-25T17:06:11.328, 2020-08-25T17:06:12.040, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.712049, 0.712049, Passed, Numeric, 3.32097576, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2489, Battery Voltage Check, 2020-08-25T17:06:12.044, 2020-08-25T17:06:12.758, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.714095, 0.714095, Passed, Numeric, 3.21735671, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2490, Wait 10, 2020-08-25T17:06:12.759, 2020-08-25T17:06:22.760, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0002, 10.0002, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2491, Remote Command Set, 2020-08-25T17:06:22.761, 2020-08-25T17:07:29.775, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.0141, 67.0141, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2492, Initialize SRAM and HC12, 2020-08-25T17:07:29.777, 2020-08-25T17:07:39.264, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48744, 9.48744, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2493, I2C Read Write Test, 2020-08-25T17:07:39.268, 2020-08-25T17:07:42.131, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.86277, 2.86277, Passed, Alpha VCC, 5.0693804135, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2494, Get VCC Sensor Value, 2020-08-25T17:07:42.132, 2020-08-25T17:07:42.142, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0100714, 0.0100714, Passed, Numeric, 5.002, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2495, Get 15V Sensor Value, 2020-08-25T17:07:42.144, 2020-08-25T17:07:42.154, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0098807, 0.0098807, Passed, Numeric, 13.13928, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2496, Get Power Sensor Value, 2020-08-25T17:07:42.155, 2020-08-25T17:07:42.165, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0099793, 0.0099793, Passed, Numeric, 39.4286, AND, LimitPair, N.A, volt, 38, 42, N.A, 
2497, Lid Left Sensor Test, 2020-08-25T17:07:42.167, 2020-08-25T17:07:42.176, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0097086, 0.0097086, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2498, Lid Right Sensor Test, 2020-08-25T17:07:42.178, 2020-08-25T17:07:42.189, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0108278, 0.0108278, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2499, HS Left Sensor Test, 2020-08-25T17:07:42.190, 2020-08-25T17:07:42.200, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0096945, 0.0096945, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2500, HS Right Sensor Test, 2020-08-25T17:07:42.201, 2020-08-25T17:07:42.211, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0095842, 0.0095842, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2501, Get Amp2 Sensor Value, 2020-08-25T17:07:42.212, 2020-08-25T17:07:42.225, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0129649, 0.0129649, Passed, Numeric, 25.3, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
2502, Get Amp Sensor Value, 2020-08-25T17:07:42.227, 2020-08-25T17:07:42.237, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0098573, 0.0098573, Passed, Numeric, 25.9, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
2503, Get Power Supply Sensor Value, 2020-08-25T17:07:42.238, 2020-08-25T17:07:42.248, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0101621, 0.0101621, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
2504, SRAM Page 0 Check, 2020-08-25T17:07:42.252, 2020-08-25T17:08:22.677, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 40.4254, 40.4254, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2505, SRAM Page 1 Check, 2020-08-25T17:08:22.679, 2020-08-25T17:08:23.140, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.460511, 0.460511, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2506, SRAM Page 2 Check, 2020-08-25T17:08:23.141, 2020-08-25T17:08:23.543, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.401466, 0.401466, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2507, SRAM Page 3 Check, 2020-08-25T17:08:23.544, 2020-08-25T17:08:23.945, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.401068, 0.401068, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2508, Power Cycle Unit, 2020-08-25T17:08:23.947, 2020-08-25T17:08:52.728, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.7811, 28.7811, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
