ID, administrator
name, administrator
ID, 533
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-08-27T16:40:57.724
endDateTime, 2021-08-27T16:48:42.022
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 464.298
ModuleTime, 464.298
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
534, Load Bio Rad DLL, 2021-08-27T16:40:57.761, 2021-08-27T16:40:57.762, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013596, 0.0013596, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
535, Put UUT, 2021-08-27T16:40:57.778, 2021-08-27T16:40:59.997, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.21894, 2.21894, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
536, DC Power On, 2021-08-27T16:41:00.003, 2021-08-27T16:41:00.372, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.369423, 0.369423, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
537, AC Power On, 2021-08-27T16:41:00.377, 2021-08-27T16:41:00.574, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.196951, 0.196951, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
538, Find Attached Devices, 2021-08-27T16:41:00.582, 2021-08-27T16:41:21.867, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 21.285, 21.285, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
539, 12.8V No Load Test, 2021-08-27T16:41:21.879, 2021-08-27T16:41:23.160, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.2803, 1.2803, Passed, Numeric, 12.7772083, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
540, 12.8V Load 30W, 2021-08-27T16:41:23.166, 2021-08-27T16:41:24.545, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.379, 1.379, Passed, Numeric, 12.4672331, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
541, 5V No Load Test, 2021-08-27T16:41:24.557, 2021-08-27T16:41:25.302, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.744955, 0.744955, Passed, Numeric, 5.07661814, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
542, 5V 600mA Load, 2021-08-27T16:41:25.307, 2021-08-27T16:41:26.545, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.2373, 1.2373, Passed, Numeric, 5.01706994, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
543, 3.3V Voltage Check, 2021-08-27T16:41:26.557, 2021-08-27T16:41:27.304, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.746601, 0.746601, Passed, Numeric, 3.2989283, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
544, Battery Voltage Check, 2021-08-27T16:41:27.315, 2021-08-27T16:41:28.054, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.739625, 0.739625, Passed, Numeric, 3.20955568, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
545, Wait 10, 2021-08-27T16:41:28.060, 2021-08-27T16:41:38.060, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
546, Remote Command Set, 2021-08-27T16:41:38.064, 2021-08-27T16:42:39.618, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.5545, 61.5545, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
547, Initialize SRAM and HC12, 2021-08-27T16:42:39.624, 2021-08-27T16:42:49.120, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49607, 9.49607, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
548, I2C Read Write Test, 2021-08-27T16:42:49.131, 2021-08-27T16:42:52.089, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.95767, 2.95767, Passed, Alpha VCC, 5.077510905, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
