ID, administrator
name, administrator
ID, 4249
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-12-29T06:33:27.475
endDateTime, 2021-12-29T06:46:14.345
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 766.871
ModuleTime, 766.871
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
4250, Load Bio Rad DLL, 2021-12-29T06:33:27.529, 2021-12-29T06:33:27.530, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012693, 0.0012693, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
4251, Put UUT, 2021-12-29T06:33:27.544, 2021-12-29T06:36:37.870, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 190.326, 190.326, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
4252, DC Power On, 2021-12-29T06:36:37.875, 2021-12-29T06:36:38.275, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.400008, 0.400008, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
4253, AC Power On, 2021-12-29T06:36:38.280, 2021-12-29T06:36:38.444, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.164104, 0.164104, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
4254, Find Attached Devices, 2021-12-29T06:36:38.454, 2021-12-29T06:36:54.727, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.273, 16.273, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
4255, 12.8V No Load Test, 2021-12-29T06:36:54.731, 2021-12-29T06:36:56.082, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.35151, 1.35151, Passed, Numeric, 12.8466044, AND, LimitPair, N.A, volt, 12.16, 13.44, 
4256, 12.8V Load 30W, 2021-12-29T06:36:56.084, 2021-12-29T06:36:57.442, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.35805, 1.35805, Passed, Numeric, 12.48839, AND, LimitPair, N.A, volt, 12.16, 13.44, 
4257, 5V No Load Test, 2021-12-29T06:36:57.454, 2021-12-29T06:36:58.201, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.7465, 0.7465, Passed, Numeric, 5.04664047, AND, LimitPair, N.A, volt, 4.75, 5.25, 
4258, 5V 600mA Load, 2021-12-29T06:36:58.206, 2021-12-29T06:36:59.442, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.2363, 1.2363, Passed, Numeric, 5.01981794, AND, LimitPair, N.A, volt, 4.75, 5.25, 
4259, 3.3V Voltage Check, 2021-12-29T06:36:59.454, 2021-12-29T06:37:00.191, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.736527, 0.736527, Passed, Numeric, 3.31590639, AND, LimitPair, N.A, volt, 2.85, 3.45, 
4260, Battery Voltage Check, 2021-12-29T06:37:00.203, 2021-12-29T06:37:00.936, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.732784, 0.732784, Passed, Numeric, 3.23488113, AND, LimitPair, N.A, volt, 2.85, 3.45, 
4261, Wait 10, 2021-12-29T06:37:00.941, 2021-12-29T06:37:10.941, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0006, 10.0006, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
4262, Remote Command Set, 2021-12-29T06:37:10.945, 2021-12-29T06:38:12.496, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.5514, 61.5514, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
4263, Initialize SRAM and HC12, 2021-12-29T06:38:12.498, 2021-12-29T06:38:21.985, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48723, 9.48723, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
