ID, administrator
name, administrator
ID, 639
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-04-11T09:28:13.712
endDateTime, 2021-04-11T09:34:53.327
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 399.615
ModuleTime, 399.615
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
660, HS Left Sensor Test, 2021-04-11T09:30:04.208, 2021-04-11T09:30:04.219, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0108035, 0.0108035, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
661, HS Right Sensor Test, 2021-04-11T09:30:04.222, 2021-04-11T09:30:04.239, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.016454, 0.016454, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
662, Get Amp2 Sensor Value, 2021-04-11T09:30:04.242, 2021-04-11T09:30:04.255, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0124679, 0.0124679, Passed, Numeric, 21.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
663, Get Amp Sensor Value, 2021-04-11T09:30:04.258, 2021-04-11T09:30:04.269, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.011159, 0.011159, Passed, Numeric, 22.1, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
664, Get Power Supply Sensor Value, 2021-04-11T09:30:04.273, 2021-04-11T09:30:04.289, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0167277, 0.0167277, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
665, SRAM Page 0 Check, 2021-04-11T09:30:04.297, 2021-04-11T09:30:53.525, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 49.228, 49.228, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
666, SRAM Page 1 Check, 2021-04-11T09:30:53.532, 2021-04-11T09:30:54.040, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.507724, 0.507724, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
667, SRAM Page 2 Check, 2021-04-11T09:30:54.044, 2021-04-11T09:30:54.466, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.421376, 0.421376, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
668, SRAM Page 3 Check, 2021-04-11T09:30:54.471, 2021-04-11T09:30:54.963, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.492221, 0.492221, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
669, Power Cycle Unit, 2021-04-11T09:30:54.968, 2021-04-11T09:31:21.243, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 26.275, 26.275, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
670, Battery Backup Test, 2021-04-11T09:31:21.248, 2021-04-11T09:31:22.522, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.27419, 1.27419, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
671, Block Sensor 0 Check, 2021-04-11T09:31:22.533, 2021-04-11T09:31:22.546, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0125093, 0.0125093, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
672, Block Sensor 1 Check, 2021-04-11T09:31:22.550, 2021-04-11T09:31:22.562, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0118832, 0.0118832, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
673, Block Sensor 2 Check, 2021-04-11T09:31:22.571, 2021-04-11T09:31:22.583, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0111579, 0.0111579, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
674, Block Sensor 3 Check, 2021-04-11T09:31:22.602, 2021-04-11T09:31:22.613, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0107505, 0.0107505, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
675, Block Sensor 4 Check, 2021-04-11T09:31:22.619, 2021-04-11T09:31:22.630, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.010719, 0.010719, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
676, Block Sensor 5 Check, 2021-04-11T09:31:22.635, 2021-04-11T09:31:22.646, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0107724, 0.0107724, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
677, TE CH0 Posistive Direction Check, 2021-04-11T09:31:22.658, 2021-04-11T09:31:23.547, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.889198, 0.889198, Passed, Numeric, 10.7918065, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
678, TE CH0 Negative Direction Check, 2021-04-11T09:31:23.559, 2021-04-11T09:31:24.372, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.813166, 0.813166, Passed, Numeric, -10.78367336667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
679, TE CH1 Posistive Direction Check, 2021-04-11T09:31:24.384, 2021-04-11T09:31:25.178, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.794286, 0.794286, Passed, Numeric, 10.76741293333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
680, TE CH1 Negative Direction Check, 2021-04-11T09:31:25.191, 2021-04-11T09:31:26.025, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.834171, 0.834171, Passed, Numeric, -10.7756298, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
681, TE CH2 Posistive Direction Check, 2021-04-11T09:31:26.037, 2021-04-11T09:31:26.833, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.79655, 0.79655, Passed, Numeric, 10.80641413333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
682, TE CH2 Negative Direction Check, 2021-04-11T09:31:26.845, 2021-04-11T09:31:27.717, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.871755, 0.871755, Passed, Numeric, -10.80472565, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
683, TE CH3 Posistive Direction Check, 2021-04-11T09:31:27.729, 2021-04-11T09:31:28.532, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.802269, 0.802269, Passed, Numeric, 10.874432, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
684, TE CH3 Negative Direction Check, 2021-04-11T09:31:28.545, 2021-04-11T09:31:29.342, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, 52, 0.797843, 0.797843, Passed, Numeric, -10.87444323333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
685, TE CH4 Posistive Direction Check, 2021-04-11T09:31:29.355, 2021-04-11T09:31:30.189, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.833426, 0.833426, Passed, Numeric, 10.81272718333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
686, TE CH4 Negative Direction Check, 2021-04-11T09:31:30.198, 2021-04-11T09:31:30.983, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.785264, 0.785264, Passed, Numeric, -10.8105009, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
687, TE CH5 Posistive Direction Check, 2021-04-11T09:31:30.996, 2021-04-11T09:31:55.073, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, true, 55, 24.077, Failed, Numeric, 0.0003647106633333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
688, TE CH5 Negative Direction Check, 2021-04-11T09:31:55.086, 2021-04-11T09:33:16.366, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 81.28, 81.28, Failed, Numeric, 0.0003475433033333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
689, TE CH0 4.9A Current Check, 2021-04-11T09:33:16.380, 2021-04-11T09:34:37.726, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 81.3466, 81.3466, Aborted, Numeric, 0.00034774142, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
690, Power Off, 2021-04-11T09:34:37.726, 2021-04-11T09:34:37.930, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.203337, 0.203337, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
691, DC Power Off, 2021-04-11T09:34:37.930, 2021-04-11T09:34:38.297, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.367559, 0.367559, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
692, Wait 10, 2021-04-11T09:34:38.298, 2021-04-11T09:34:53.298, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0006, 15.0006, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
