ID, administrator
name, administrator
ID, 563
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-07T05:31:44.101
endDateTime, 2022-04-07T05:35:27.770
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 223.67
ModuleTime, 223.67
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
584, HS Left Sensor Test, 2022-04-07T05:33:51.979, 2022-04-07T05:33:51.991, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0127375, 0.0127375, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
585, HS Right Sensor Test, 2022-04-07T05:33:51.997, 2022-04-07T05:33:52.015, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0182029, 0.0182029, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
586, Get Amp2 Sensor Value, 2022-04-07T05:33:52.020, 2022-04-07T05:33:52.033, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0129151, 0.0129151, Passed, Numeric, 21.2, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
587, Get Amp Sensor Value, 2022-04-07T05:33:52.038, 2022-04-07T05:33:52.051, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0126715, 0.0126715, Passed, Numeric, 20.4, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
588, Get Power Supply Sensor Value, 2022-04-07T05:33:52.056, 2022-04-07T05:33:52.070, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0139192, 0.0139192, Passed, Numeric, 25.3, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
589, SRAM Page 0 Check, 2022-04-07T05:33:52.082, 2022-04-07T05:34:42.421, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 50.3388, 50.3388, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
590, SRAM Page 1 Check, 2022-04-07T05:34:42.431, 2022-04-07T05:34:42.941, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.510007, 0.510007, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
591, SRAM Page 2 Check, 2022-04-07T05:34:42.946, 2022-04-07T05:34:43.384, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.438304, 0.438304, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
592, SRAM Page 3 Check, 2022-04-07T05:34:43.389, 2022-04-07T05:34:43.889, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.500467, 0.500467, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
593, Power Cycle Unit, 2022-04-07T05:34:43.894, 2022-04-07T05:35:10.063, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 26.1686, 26.1686, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
594, Battery Backup Test, 2022-04-07T05:35:10.064, 2022-04-07T05:35:11.104, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.03971, 1.03971, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
