ID, administrator
name, administrator
ID, 2393
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-30T14:28:29.377
endDateTime, 2021-03-30T14:36:27.319
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 477.943
ModuleTime, 477.943
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2394, Load Bio Rad DLL, 2021-03-30T14:28:29.427, 2021-03-30T14:28:29.435, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0075441, 0.0075441, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2395, Put UUT, 2021-03-30T14:28:29.446, 2021-03-30T14:28:39.205, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 9.7592, 9.7592, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2396, DC Power On, 2021-03-30T14:28:39.209, 2021-03-30T14:28:39.606, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.396082, 0.396082, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2397, AC Power On, 2021-03-30T14:28:39.610, 2021-03-30T14:28:39.780, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.169345, 0.169345, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2398, Find Attached Devices, 2021-03-30T14:28:39.790, 2021-03-30T14:29:14.884, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0947, 35.0947, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2399, 12.8V No Load Test, 2021-03-30T14:29:14.896, 2021-03-30T14:29:16.417, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.52122, 1.52122, Passed, Numeric, 12.7367282, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2400, 12.8V Load 30W, 2021-03-30T14:29:16.423, 2021-03-30T14:29:17.575, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.15213, 1.15213, Passed, Numeric, 12.5915596, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2401, 5V No Load Test, 2021-03-30T14:29:17.587, 2021-03-30T14:29:18.334, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.746474, 0.746474, Passed, Numeric, 5.06889497, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2402, 5V 600mA Load, 2021-03-30T14:29:18.339, 2021-03-30T14:29:19.575, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23595, 1.23595, Passed, Numeric, 5.05973042, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2403, 3.3V Voltage Check, 2021-03-30T14:29:19.587, 2021-03-30T14:29:20.337, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.74926, 0.74926, Passed, Numeric, 3.33390645, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
