ID, administrator
name, administrator
ID, 983
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-21T16:51:35.520
endDateTime, 2021-03-21T16:59:35.027
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 479.507
ModuleTime, 479.507
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
984, Load Bio Rad DLL, 2021-03-21T16:51:35.557, 2021-03-21T16:51:35.559, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011444, 0.0011444, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
985, Put UUT, 2021-03-21T16:51:35.574, 2021-03-21T16:51:38.173, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.59931, 2.59931, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
986, DC Power On, 2021-03-21T16:51:38.178, 2021-03-21T16:51:38.518, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.340667, 0.340667, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
987, AC Power On, 2021-03-21T16:51:38.523, 2021-03-21T16:51:38.687, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.16356, 0.16356, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
988, Find Attached Devices, 2021-03-21T16:51:38.697, 2021-03-21T16:52:13.789, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0923, 35.0923, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
989, 12.8V No Load Test, 2021-03-21T16:52:13.801, 2021-03-21T16:52:15.121, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.32077, 1.32077, Passed, Numeric, 12.7821871, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
990, 12.8V Load 30W, 2021-03-21T16:52:15.127, 2021-03-21T16:52:16.324, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.1969, 1.1969, Passed, Numeric, 12.639739, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
991, 5V No Load Test, 2021-03-21T16:52:16.337, 2021-03-21T16:52:17.072, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.734775, 0.734775, Passed, Numeric, 5.07566887, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
992, 5V 600mA Load, 2021-03-21T16:52:17.077, 2021-03-21T16:52:18.324, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.2471, 1.2471, Passed, Numeric, 5.07456569, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
993, 3.3V Voltage Check, 2021-03-21T16:52:18.337, 2021-03-21T16:52:19.112, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.775615, 0.775615, Passed, Numeric, 3.33588077, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
994, Battery Voltage Check, 2021-03-21T16:52:19.130, 2021-03-21T16:52:19.888, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.757959, 0.757959, Passed, Numeric, 3.21115066, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
995, Wait 10, 2021-03-21T16:52:19.893, 2021-03-21T16:52:29.894, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
996, Remote Command Set, 2021-03-21T16:52:29.898, 2021-03-21T16:53:31.492, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.5945, 61.5945, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
997, Initialize SRAM and HC12, 2021-03-21T16:53:31.498, 2021-03-21T16:53:40.992, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49396, 9.49396, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
998, I2C Read Write Test, 2021-03-21T16:53:41.003, 2021-03-21T16:53:44.069, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 3.06557, 3.06557, Passed, Alpha VCC, 5.0761150515, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
999, Get VCC Sensor Value, 2021-03-21T16:53:44.075, 2021-03-21T16:53:44.087, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0124323, 0.0124323, Passed, Numeric, 5.00688, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
