ID, administrator
name, administrator
ID, 7251
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-12-28T04:39:52.815
endDateTime, 2021-12-28T04:47:52.855
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 480.041
ModuleTime, 480.041
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
7252, Load Bio Rad DLL, 2021-12-28T04:39:52.851, 2021-12-28T04:39:52.852, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013907, 0.0013907, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7253, Put UUT, 2021-12-28T04:39:52.868, 2021-12-28T04:39:56.899, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.03149, 4.03149, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7254, DC Power On, 2021-12-28T04:39:56.907, 2021-12-28T04:39:57.216, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.308562, 0.308562, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7255, AC Power On, 2021-12-28T04:39:57.220, 2021-12-28T04:39:57.381, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.160276, 0.160276, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7256, Find Attached Devices, 2021-12-28T04:39:57.391, 2021-12-28T04:40:13.411, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0202, 16.0202, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
7257, 12.8V No Load Test, 2021-12-28T04:40:13.415, 2021-12-28T04:40:14.620, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.20476, 1.20476, Passed, Numeric, 12.7909753, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
7258, 12.8V Load 30W, 2021-12-28T04:40:14.622, 2021-12-28T04:40:15.792, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.16995, 1.16995, Passed, Numeric, 12.4500167, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
7259, 5V No Load Test, 2021-12-28T04:40:15.804, 2021-12-28T04:40:16.547, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.743389, 0.743389, Passed, Numeric, 5.05926191, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
7260, 5V 600mA Load, 2021-12-28T04:40:16.552, 2021-12-28T04:40:17.792, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23927, 1.23927, Passed, Numeric, 5.08285787, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
7261, 3.3V Voltage Check, 2021-12-28T04:40:17.804, 2021-12-28T04:40:18.550, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.745873, 0.745873, Passed, Numeric, 3.31816961, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
7262, Battery Voltage Check, 2021-12-28T04:40:18.561, 2021-12-28T04:40:19.275, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.714007, 0.714007, Passed, Numeric, 3.22805407, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
7263, Wait 10, 2021-12-28T04:40:19.280, 2021-12-28T04:40:29.280, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7264, Remote Command Set, 2021-12-28T04:40:29.284, 2021-12-28T04:41:30.845, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.5606, 61.5606, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7265, Initialize SRAM and HC12, 2021-12-28T04:41:30.846, 2021-12-28T04:41:40.334, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48733, 9.48733, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7266, I2C Read Write Test, 2021-12-28T04:41:40.345, 2021-12-28T04:41:43.312, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.96685, 2.96685, Passed, Alpha VCC, 5.0598986245, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7267, Get VCC Sensor Value, 2021-12-28T04:41:43.318, 2021-12-28T04:41:43.331, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0129393, 0.0129393, Passed, Numeric, 5.002, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
7268, Get 15V Sensor Value, 2021-12-28T04:41:43.336, 2021-12-28T04:41:43.349, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.012683, 0.012683, Passed, Numeric, 13.12032, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
7269, Get Power Sensor Value, 2021-12-28T04:41:43.354, 2021-12-28T04:41:43.367, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0126813, 0.0126813, Passed, Numeric, 39.5656, AND, LimitPair, N.A, volt, 38, 42, N.A, 
7270, Lid Left Sensor Test, 2021-12-28T04:41:43.372, 2021-12-28T04:41:43.384, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0125106, 0.0125106, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7271, Lid Right Sensor Test, 2021-12-28T04:41:43.390, 2021-12-28T04:41:43.407, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0172425, 0.0172425, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7272, HS Left Sensor Test, 2021-12-28T04:41:43.412, 2021-12-28T04:41:43.425, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0124928, 0.0124928, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7273, HS Right Sensor Test, 2021-12-28T04:41:43.430, 2021-12-28T04:41:43.443, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0125701, 0.0125701, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7274, Get Amp2 Sensor Value, 2021-12-28T04:41:43.448, 2021-12-28T04:41:43.462, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0139882, 0.0139882, Passed, Numeric, 23.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
7275, Get Amp Sensor Value, 2021-12-28T04:41:43.467, 2021-12-28T04:41:43.480, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0128127, 0.0128127, Passed, Numeric, 23.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
7276, Get Power Supply Sensor Value, 2021-12-28T04:41:43.485, 2021-12-28T04:41:43.498, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0127867, 0.0127867, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
7277, SRAM Page 0 Check, 2021-12-28T04:41:43.510, 2021-12-28T04:42:33.019, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 49.509, 49.509, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7278, SRAM Page 1 Check, 2021-12-28T04:42:33.038, 2021-12-28T04:42:33.532, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.494283, 0.494283, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7279, SRAM Page 2 Check, 2021-12-28T04:42:33.537, 2021-12-28T04:42:33.979, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.44182, 0.44182, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7280, SRAM Page 3 Check, 2021-12-28T04:42:33.984, 2021-12-28T04:42:34.481, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.496804, 0.496804, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7281, Power Cycle Unit, 2021-12-28T04:42:34.485, 2021-12-28T04:43:00.642, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 26.1569, 26.1569, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7282, Battery Backup Test, 2021-12-28T04:43:00.644, 2021-12-28T04:43:01.916, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.27197, 1.27197, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7283, Block Sensor 0 Check, 2021-12-28T04:43:01.927, 2021-12-28T04:43:01.940, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0128189, 0.0128189, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
7284, Block Sensor 1 Check, 2021-12-28T04:43:01.951, 2021-12-28T04:43:01.964, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0127977, 0.0127977, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
7285, Block Sensor 2 Check, 2021-12-28T04:43:01.996, 2021-12-28T04:43:02.008, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0120792, 0.0120792, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
7286, Block Sensor 3 Check, 2021-12-28T04:43:02.013, 2021-12-28T04:43:02.024, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0107983, 0.0107983, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
7287, Block Sensor 4 Check, 2021-12-28T04:43:02.027, 2021-12-28T04:43:02.038, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0103464, 0.0103464, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
7288, Block Sensor 5 Check, 2021-12-28T04:43:02.045, 2021-12-28T04:43:02.056, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0114189, 0.0114189, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
7289, TE CH0 Posistive Direction Check, 2021-12-28T04:43:02.072, 2021-12-28T04:43:02.838, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.766443, 0.766443, Passed, Numeric, 10.64501028333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
7290, TE CH0 Negative Direction Check, 2021-12-28T04:43:02.850, 2021-12-28T04:43:03.660, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.80994, 0.80994, Passed, Numeric, -10.64352046667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
7291, TE CH1 Posistive Direction Check, 2021-12-28T04:43:03.673, 2021-12-28T04:43:04.468, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.79531, 0.79531, Passed, Numeric, 10.73206818333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
7292, TE CH1 Negative Direction Check, 2021-12-28T04:43:04.480, 2021-12-28T04:43:05.270, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.789809, 0.789809, Passed, Numeric, -10.73505796667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
7293, TE CH2 Posistive Direction Check, 2021-12-28T04:43:05.281, 2021-12-28T04:43:06.060, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.778945, 0.778945, Passed, Numeric, 10.70653175, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
7294, TE CH2 Negative Direction Check, 2021-12-28T04:43:06.073, 2021-12-28T04:43:06.881, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.808205, 0.808205, Passed, Numeric, -10.70451726667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
7295, TE CH3 Posistive Direction Check, 2021-12-28T04:43:06.894, 2021-12-28T04:43:07.671, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.776959, 0.776959, Passed, Numeric, 10.58600925, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
7296, TE CH3 Negative Direction Check, 2021-12-28T04:43:07.683, 2021-12-28T04:43:08.466, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, 52, 0.782531, 0.782531, Passed, Numeric, -10.58299516667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
7297, TE CH4 Posistive Direction Check, 2021-12-28T04:43:08.478, 2021-12-28T04:43:09.303, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.825066, 0.825066, Passed, Numeric, 10.656343, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
7298, TE CH4 Negative Direction Check, 2021-12-28T04:43:09.313, 2021-12-28T04:43:10.111, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.797399, 0.797399, Passed, Numeric, -10.65466078333, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
7299, TE CH5 Posistive Direction Check, 2021-12-28T04:43:10.123, 2021-12-28T04:43:10.916, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.793224, 0.793224, Passed, Numeric, 10.6443013, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
