ID, administrator
name, administrator
ID, 215
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-07-16T04:50:43.421
endDateTime, 2021-07-16T04:53:37.575
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 174.155
ModuleTime, 174.155
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
216, Load Bio Rad DLL, 2021-07-16T04:50:43.457, 2021-07-16T04:50:43.459, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012084, 0.0012084, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
217, Put UUT, 2021-07-16T04:50:43.475, 2021-07-16T04:50:45.633, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.15833, 2.15833, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
218, DC Power On, 2021-07-16T04:50:45.640, 2021-07-16T04:50:45.966, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.3254, 0.3254, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
219, AC Power On, 2021-07-16T04:50:45.971, 2021-07-16T04:50:46.174, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.20319, 0.20319, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
220, Find Attached Devices, 2021-07-16T04:50:46.180, 2021-07-16T04:51:02.212, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0314, 16.0314, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
221, 12.8V No Load Test, 2021-07-16T04:51:02.223, 2021-07-16T04:51:03.493, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.26965, 1.26965, Passed, Numeric, 12.761205, AND, LimitPair, N.A, volt, 12.16, 13.44, 
222, 12.8V Load 30W, 2021-07-16T04:51:03.499, 2021-07-16T04:51:04.994, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.4949, 1.4949, Passed, Numeric, 12.6177965, AND, LimitPair, N.A, volt, 12.16, 13.44, 
223, 5V No Load Test, 2021-07-16T04:51:05.006, 2021-07-16T04:51:05.725, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.719314, 0.719314, Passed, Numeric, 5.05958539, AND, LimitPair, N.A, volt, 4.75, 5.25, 
224, 5V 600mA Load, 2021-07-16T04:51:05.730, 2021-07-16T04:51:06.994, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26318, 1.26318, Passed, Numeric, 5.07239867, AND, LimitPair, N.A, volt, 4.75, 5.25, 
225, 3.3V Voltage Check, 2021-07-16T04:51:07.006, 2021-07-16T04:51:07.742, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.735996, 0.735996, Passed, Numeric, 3.31051127, AND, LimitPair, N.A, volt, 2.85, 3.45, 
226, Battery Voltage Check, 2021-07-16T04:51:07.753, 2021-07-16T04:51:08.485, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.732142, 0.732142, Passed, Numeric, 3.10215058, AND, LimitPair, N.A, volt, 2.85, 3.45, 
227, Wait 10, 2021-07-16T04:51:08.491, 2021-07-16T04:51:18.491, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
228, Remote Command Set, 2021-07-16T04:51:18.495, 2021-07-16T04:52:20.200, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.7056, 61.7056, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
229, Initialize SRAM and HC12, 2021-07-16T04:52:20.207, 2021-07-16T04:52:29.696, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48972, 9.48972, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
230, I2C Read Write Test, 2021-07-16T04:52:29.707, 2021-07-16T04:52:32.673, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.96564, 2.96564, Passed, Alpha VCC, 5.0600971065, N.A, N.A, N.A, N.A, N.A, N.A, 
231, Get VCC Sensor Value, 2021-07-16T04:52:32.679, 2021-07-16T04:52:32.692, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0130533, 0.0130533, Passed, Numeric, 5.01176, AND, LimitPair, N.A, volt, 4.75, 5.25, 
232, Get 15V Sensor Value, 2021-07-16T04:52:32.697, 2021-07-16T04:52:32.709, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0124077, 0.0124077, Passed, Numeric, 13.06344, AND, LimitPair, N.A, volt, 12.16, 13.44, 
233, Get Power Sensor Value, 2021-07-16T04:52:32.714, 2021-07-16T04:52:32.727, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0124675, 0.0124675, Passed, Numeric, 39.5656, AND, LimitPair, N.A, volt, 38, 42, 
234, Lid Left Sensor Test, 2021-07-16T04:52:32.732, 2021-07-16T04:52:32.744, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0122476, 0.0122476, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
235, Lid Right Sensor Test, 2021-07-16T04:52:32.749, 2021-07-16T04:52:32.761, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0120587, 0.0120587, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
236, HS Left Sensor Test, 2021-07-16T04:52:32.766, 2021-07-16T04:52:32.778, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0121456, 0.0121456, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
237, HS Right Sensor Test, 2021-07-16T04:52:32.783, 2021-07-16T04:52:32.795, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0123759, 0.0123759, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
238, Get Amp2 Sensor Value, 2021-07-16T04:52:32.800, 2021-07-16T04:52:32.818, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0180414, 0.0180414, Passed, Numeric, 23.3, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
239, Get Amp Sensor Value, 2021-07-16T04:52:32.823, 2021-07-16T04:52:32.836, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0124179, 0.0124179, Passed, Numeric, 22.7, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
240, Get Power Supply Sensor Value, 2021-07-16T04:52:32.841, 2021-07-16T04:52:32.853, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0126133, 0.0126133, Passed, Numeric, 25.5, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
241, SRAM Page 0 Check, 2021-07-16T04:52:32.860, 2021-07-16T04:53:22.106, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 49.2456, 49.2456, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
242, Power Off, 2021-07-16T04:53:22.106, 2021-07-16T04:53:22.200, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.0942818, 0.0942818, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
243, DC Power Off, 2021-07-16T04:53:22.200, 2021-07-16T04:53:22.550, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.349569, 0.349569, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
244, Wait 10, 2021-07-16T04:53:22.550, 2021-07-16T04:53:37.550, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0005, 15.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
