ID, administrator
name, administrator
ID, 504
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-09T15:55:27.140
endDateTime, 2020-09-09T15:59:05.240
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 218.1
ModuleTime, 218.1
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
505, Load Bio Rad DLL, 2020-09-09T15:55:27.214, 2020-09-09T15:55:27.223, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0089634, 0.0089634, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
506, Put UUT, 2020-09-09T15:55:27.252, 2020-09-09T15:55:31.476, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.22455, 4.22455, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
507, DC Power On, 2020-09-09T15:55:31.479, 2020-09-09T15:55:31.802, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.323074, 0.323074, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
508, AC Power On, 2020-09-09T15:55:31.804, 2020-09-09T15:55:33.550, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.74634, 1.74634, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
509, Find Attached Devices, 2020-09-09T15:55:33.554, 2020-09-09T15:55:48.592, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.038, 15.038, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
510, 12.8V No Load Test, 2020-09-09T15:55:48.595, 2020-09-09T15:55:49.826, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.23092, 1.23092, Passed, Numeric, 12.8540088, AND, LimitPair, N.A, volt, 12.16, 13.44, 
511, 12.8V Load 30W, 2020-09-09T15:55:49.828, 2020-09-09T15:55:51.270, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.44192, 1.44192, Passed, Numeric, 12.5818574, AND, LimitPair, N.A, volt, 12.16, 13.44, 
512, 5V No Load Test, 2020-09-09T15:55:51.274, 2020-09-09T15:55:51.992, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.718678, 0.718678, Passed, Numeric, 5.09647493, AND, LimitPair, N.A, volt, 4.75, 5.25, 
513, 5V 600mA Load, 2020-09-09T15:55:51.994, 2020-09-09T15:55:53.270, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27608, 1.27608, Passed, Numeric, 5.05143778, AND, LimitPair, N.A, volt, 4.75, 5.25, 
514, 3.3V Voltage Check, 2020-09-09T15:55:53.274, 2020-09-09T15:55:53.993, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.719779, 0.719779, Passed, Numeric, 3.32364983, AND, LimitPair, N.A, volt, 2.85, 3.45, 
