ID, administrator
name, administrator
ID, 215
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-13T11:03:29.933
endDateTime, 2022-04-13T11:07:24.444
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 234.512
ModuleTime, 234.512
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
216, Load Bio Rad DLL, 2022-04-13T11:03:29.969, 2022-04-13T11:03:29.971, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012347, 0.0012347, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
217, Put UUT, 2022-04-13T11:03:29.987, 2022-04-13T11:03:38.826, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 8.83877, 8.83877, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
218, DC Power On, 2022-04-13T11:03:38.834, 2022-04-13T11:03:39.158, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.323486, 0.323486, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
219, AC Power On, 2022-04-13T11:03:39.163, 2022-04-13T11:03:39.333, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.170394, 0.170394, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
220, Find Attached Devices, 2022-04-13T11:03:39.343, 2022-04-13T11:04:14.434, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0904, 35.0904, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
221, 12.8V No Load Test, 2022-04-13T11:04:14.446, 2022-04-13T11:04:15.739, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.29376, 1.29376, Passed, Numeric, 12.7676068, AND, LimitPair, N.A, volt, 12.16, 13.44, 
222, 12.8V Load 30W, 2022-04-13T11:04:15.745, 2022-04-13T11:04:17.136, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.39081, 1.39081, Passed, Numeric, 12.3688389, AND, LimitPair, N.A, volt, 12.16, 13.44, 
223, 5V No Load Test, 2022-04-13T11:04:17.148, 2022-04-13T11:04:17.897, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.748368, 0.748368, Passed, Numeric, 5.09051496, AND, LimitPair, N.A, volt, 4.75, 5.25, 
224, 5V 600mA Load, 2022-04-13T11:04:17.902, 2022-04-13T11:04:19.135, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23315, 1.23315, Passed, Numeric, 5.06209986, AND, LimitPair, N.A, volt, 4.75, 5.25, 
225, 3.3V Voltage Check, 2022-04-13T11:04:19.152, 2022-04-13T11:04:19.867, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.715048, 0.715048, Passed, Numeric, 3.33155709, AND, LimitPair, N.A, volt, 2.85, 3.45, 
